REACTION,DELTAG [kJ/mol],UNCERTAINTY [kJ/mol]
RE2921X_for,-999999,0
RE2948C_for,-999999,0
RE2954C_for,-67.68,6.63
RE2958C_for,-999999,0
RE2972G_for,-999999,0
RE2972M,-999999,0
RE2972R_for,-999999,0
RE2973C_for,-999999,0
RE2973G_for,-999999,0
RE2973N_for,-999999,0
RE2973R_for,-999999,0
RE2974C_for,-999999,0
RE2974G_for,-999999,0
RE2974N_for,-999999,0
RE2974R_for,-999999,0
RE2975C,-443.83,6.88
RE2975M,-443.83,6.88
RE2977C,-999999,0
RE2985M,-999999,0
RE2985X,-999999,0
RE2986X_for,-999999,0
RE2987X_for,-999999,0
RE2988X_for,-999999,0
RE2989X_for,-999999,0
RE2990X_for,-999999,0
RE2991X_for,-999999,0
RE2992M_for,-999999,0
RE2992X_for,-999999,0
RE2993X_for,-999999,0
RE2994X,-999999,0
RE2995M_for,-999999,0
RE2995X_for,-999999,0
RE2996X_for,-999999,0
RE2997X,-999999,0
RE2998M,-999999,0
RE2999M_for,-999999,0
RE3000M_for,-999999,0
RE3001M_for,-999999,0
RE3002X_for,-999999,0
RE3003M_for,-999999,0
RE3004M_for,-999999,0
RE3005M_for,-999999,0
RE3006M_for,-999999,0
RE3009C,-35.34,15.41
RE3010C_for,55.92,5.1
RE3010M_for,55.92,5.1
RE3010R_for,55.92,5.1
RE3010X_for,55.92,5.1
RE3011M_for,61.46,5.14
RE3011R_for,61.46,5.14
RE3012C_for,46.17,9.69
RE3012M_for,46.17,9.69
RE3012R_for,46.17,9.69
RE3013C,-999999,0
RE3013R,-999999,0
RE3014C,-999999,0
RE3014R,-999999,0
RE3015C,-999999,0
RE3015R,-999999,0
RE3016R_for,-999999,0
RE3017R_for,-999999,0
RE3018C,-438.12,6.95
RE3018R,-438.12,6.95
RE3019C,-999999,0
RE3019R,-999999,0
RE3020C,-999999,0
RE3020R,-999999,0
RE3021C_for,-999999,0
RE3022C_for,-999999,0
RE3033C,-999999,0
RE3033N,-999999,0
RE3033R,-999999,0
RE3036C_for,-999999,0
RE3036N_for,-999999,0
RE3038C_for,-999999,0
RE3038N_for,-999999,0
RE3038R_for,-999999,0
RE3038X_for,-999999,0
RE3039C_for,-999999,0
RE3040C_for,-999999,0
RE3040R_for,-999999,0
RE3040X_for,-999999,0
RE3041C,-999999,0
RE3041N,-999999,0
RE3044C,-337.05,5.17
RE3044N,-337.05,5.17
RE3045C_for,-999999,0
RE3050R_for,40.65,10.59
RE3051C_for,-999999,0
RE3052C,-999999,0
RE3053C,-999999,0
RE3066X,-999999,0
RE3072X_for,16.4,8.62
RE3073X_for,-999999,0
RE3074X_for,-999999,0
RE3075C_for,-999999,0
RE3075X_for,-999999,0
RE3076X_for,46.17,9.69
RE3079C_for,-999999,0
RE3079X_for,-999999,0
RE3081X_for,-999999,0
RE3082X_for,-999999,0
RE3083X_for,-999999,0
RE3084X,-999999,0
RE3086X,-999999,0
RE3087X_for,-999999,0
RE3088X_for,-999999,0
RE3089X,-73.34,7.57
RE3090X_for,-999999,0
RE3092X_for,-999999,0
RE3093X_for,-999999,0
RE3095C_for,-239.7,13.61
RE3095L_for,-239.7,13.61
RE3095X_for,-239.7,13.61
RE3097X_for,-999999,0
RE3103C,-999999,0
RE3103R,-999999,0
RE3104C_for,-999999,0
RE3104R_for,-999999,0
RE3106C_for,-999999,0
RE3106R_for,-999999,0
RE3108C_for,45.42,5.76
RE3110C,-999999,0
RE3110R,-999999,0
RE3111C_for,-21.03,16.94
RE3111M_for,-21.03,16.94
RE3111R_for,-21.03,16.94
RE3112C_for,-999999,0
RE3112R_for,-999999,0
RE3113C_for,-999999,0
RE3113R_for,-999999,0
RE3114R_for,-22.73,2.76
RE3119C_for,-999999,0
RE3119R_for,-999999,0
RE3120C,-999999,0
RE3120R,-999999,0
RE3121C_for,-999999,0
RE3121R_for,-999999,0
RE3122C_for,-999999,0
RE3122R_for,-999999,0
RE3123C_for,-999999,0
RE3123R_for,-999999,0
RE3124C,-999999,0
RE3124R,-999999,0
RE3125C_for,-999999,0
RE3125R_for,-999999,0
RE3126C_for,-999999,0
RE3126R_for,-999999,0
RE3129N_for,-105.53,5.98
RE3132C_for,-999999,0
RE3132R_for,-22.73,2.76
RE3134C_for,-999999,0
RE3134R_for,-999999,0
RE3136C_for,6.8,14.32
RE3139X_for,-999999,0
RE3140X_for,-11.35,2.92
RE3141X_for,-999999,0
RE3144C,-999999,0
RE3144M,-999999,0
RE3145X,-60.73,7.2
RE3146C_for,-999999,0
RE3146R_for,-22.73,2.76
RE3147C_for,-999999,0
RE3147R_for,-999999,0
RE3148C,-999999,0
RE3148R,-999999,0
RE3150C_for,-999999,0
RE3150R_for,-999999,0
RE3151C,-999999,0
RE3151R,-999999,0
RE3152C_for,-999999,0
RE3152R_for,-999999,0
RE3153C_for,-999999,0
RE3153R_for,-999999,0
RE3154C_for,-999999,0
RE3154R_for,-999999,0
RE3155C_for,-999999,0
RE3155R_for,-999999,0
RE3156X_for,-999999,0
RE3157X,-999999,0
RE3158X_for,-999999,0
RE3159X_for,-999999,0
RE3160C_for,-999999,0
RE3160R_for,-22.73,2.76
RE3161C,-999999,0
RE3161R,-999999,0
RE3162C_for,-999999,0
RE3162R_for,-999999,0
RE3163C_for,-999999,0
RE3163R_for,-999999,0
RE3164C_for,-999999,0
RE3164R_for,-999999,0
RE3165C,-999999,0
RE3165R,-999999,0
RE3166C_for,-999999,0
RE3166R_for,-999999,0
RE3167C_for,-999999,0
RE3167R_for,-999999,0
RE3168C_for,-999999,0
RE3168R_for,-999999,0
RE3169C_for,-999999,0
RE3169R_for,-999999,0
RE3170C,-999999,0
RE3170R,-999999,0
RE3171C_for,-999999,0
RE3171R_for,-999999,0
RE3172C_for,-999999,0
RE3172R_for,-999999,0
RE3173C_for,-999999,0
RE3173R_for,-999999,0
RE3174C,-999999,0
RE3174R,-999999,0
RE3175C_for,-999999,0
RE3175R_for,-999999,0
RE3176C_for,-999999,0
RE3176R_for,-999999,0
RE3177M_for,-999999,0
RE3178M_for,-999999,0
RE3179M_for,-999999,0
RE3180C_for,-999999,0
RE3181C,-999999,0
RE3184M_for,-999999,0
RE3185M_for,-999999,0
RE3186M_for,-999999,0
RE3189M_for,-999999,0
RE3190M_for,-999999,0
RE3191M_for,-999999,0
RE3192M_for,-999999,0
RE3193M_for,-999999,0
RE3194M_for,-999999,0
RE3195M_for,-999999,0
RE3198C_for,-999999,0
RE3201C,-999999,0
RE3218C_for,-999999,0
RE3218L_for,-999999,0
RE3218R_for,-999999,0
RE3220C_for,-999999,0
RE3220L_for,-999999,0
RE3220R_for,-999999,0
RE3224C,-999999,0
RE3224R,-999999,0
RE3225C,-999999,0
RE3225R,-999999,0
RE3226C,-999999,0
RE3226R,-999999,0
RE3227C_for,-999999,0
RE3227R_for,-999999,0
RE3228C_for,-999999,0
RE3228R_for,-999999,0
RE3229C_for,-999999,0
RE3229R_for,-999999,0
RE3230C_for,-999999,0
RE3230R_for,-999999,0
RE3231C_for,-999999,0
RE3231R_for,-999999,0
RE3232C_for,-999999,0
RE3232R_for,-999999,0
RE3233C,-999999,0
RE3233G,-999999,0
RE3233L,-999999,0
RE3234C_for,-999999,0
RE3234R_for,-999999,0
RE3235C_for,-999999,0
RE3235R_for,-999999,0
RE3236C_for,-999999,0
RE3236R_for,-999999,0
RE3237C_for,18.75,5.46
RE3238C_for,-999999,0
RE3239C_for,-999999,0
RE3241C,-999999,0
RE3241R,-999999,0
RE3242C_for,-999999,0
RE3242R_for,-999999,0
RE3243C_for,-999999,0
RE3243R_for,-999999,0
RE3244C_for,-999999,0
RE3244R_for,-999999,0
RE3245C_for,18.75,5.46
RE3247M,-73.34,7.57
RE3247X,-73.34,7.57
RE3248M_for,-999999,0
RE3248X_for,-999999,0
RE3250C_for,-999999,0
RE3250M_for,-999999,0
RE3250X_for,-999999,0
RE3251C,-999999,0
RE3251M,-999999,0
RE3252C_for,-999999,0
RE3258C_for,24.31,5.9
RE3258R_for,24.31,5.9
RE3259C_for,24.31,5.9
RE3259R_for,24.31,5.9
RE3260C,-999999,0
RE3260R,-999999,0
RE3261C,-999999,0
RE3261R,-999999,0
RE3263C_for,-999999,0
RE3264C,-999999,0
RE3264R,-999999,0
RE3265C,-999999,0
RE3265R,-999999,0
RE3267E,-999999,0
RE3267G,-999999,0
RE3267M,-999999,0
RE3267N,-999999,0
RE3267R,-999999,0
RE3268C,-999999,0
RE3268R_for,-999999,0
RE3269C_for,-999999,0
RE3270C_for,-999999,0
RE3272N_for,-999999,0
RE3273C_for,-999999,0
RE3273G_for,-999999,0
RE3273R_for,-999999,0
RE3286C,-412.95,9.18
RE3286R,-412.95,9.18
RE3287C,-412.95,9.18
RE3287R,-412.95,9.18
RE3288C,-412.95,9.18
RE3288R,-412.95,9.18
RE3289C,-412.95,9.18
RE3289R,-412.95,9.18
RE3295C_for,-999999,0
RE3301C_for,-999999,0
RE3301G_for,-999999,0
RE3301R_for,-999999,0
RE3307C_for,59.35,5.12
RE3307M_for,-999999,0
RE3307X_for,-999999,0
RE3308C_for,-999999,0
RE3308M_for,-999999,0
RE3308R_for,-999999,0
RE3308X_for,-999999,0
RE3310C_for,-999999,0
RE3310R_for,-999999,0
RE3326M_for,26.9,2.9
RE3334M,-999999,0
RE3334X,-999999,0
RE3335C_for,-999999,0
RE3335M_for,-999999,0
RE3335R_for,-999999,0
RE3335X_for,-999999,0
RE3336M_for,-999999,0
RE3336X_for,-999999,0
RE3337M_for,-999999,0
RE3337X_for,-999999,0
RE3338C_for,-999999,0
RE3338M_for,-999999,0
RE3338X_for,-999999,0
RE3339C_for,-999999,0
RE3339M_for,-999999,0
RE3339X_for,-999999,0
RE3340C_for,-999999,0
RE3340M_for,-999999,0
RE3340X_for,-999999,0
RE3341M,-999999,0
RE3341X,-999999,0
RE3342M_for,-999999,0
RE3342X_for,-999999,0
RE3343C_for,-999999,0
RE3343M_for,-999999,0
RE3343X_for,-999999,0
RE3344M_for,-999999,0
RE3344X_for,-999999,0
RE3345C_for,-999999,0
RE3345M_for,-999999,0
RE3345R_for,-999999,0
RE3345X_for,-999999,0
RE3346C_for,-999999,0
RE3346M,-999999,0
RE3346R_for,-999999,0
RE3347C_for,-64.2,6.75
RE3352C_for,-999999,0
RE3367C,-999999,0
RE3367E,-999999,0
RE3367X,-999999,0
RE3370C,-986.73,11.27
RE3370R,-986.73,11.27
RE3372C_for,-73.5,5.57
RE3378C,-999999,0
RE3381C_for,-999999,0
RE3381E_for,-999999,0
RE3381L_for,-999999,0
RE3383M_for,-999999,0
RE3384M_for,-999999,0
RE3385M,-999999,0
RE3386M_for,-999999,0
RE3387M_for,-999999,0
RE3388M_for,-999999,0
RE3389M,-999999,0
RE3390M_for,-999999,0
RE3391M_for,-999999,0
RE3392M_for,-999999,0
RE3393M_for,-999999,0
RE3394M_for,-999999,0
RE3395M,-999999,0
RE3396M_for,-999999,0
RE3397M,-999999,0
RE3398M_for,-999999,0
RE3399M_for,-999999,0
RE3400M_for,-999999,0
RE3401M_for,-999999,0
RE3402M_for,-999999,0
RE3403M_for,-999999,0
RE3404M_for,-999999,0
RE3407C,-999999,0
RE3408C_for,-999999,0
RE3409C,-999999,0
RE3410C,-999999,0
RE3411C_for,-999999,0
RE3412C,-999999,0
RE3413C_for,-999999,0
RE3414C_for,-999999,0
RE3415C_for,-999999,0
RE3417C_for,-999999,0
RE3420C_for,-999999,0
RE3421M_for,-49.85,4.94
RE3421R_for,-49.85,4.94
RE3422C_for,-38.51,4.94
RE3423C_for,11.35,2.92
RE3430C_for,-114.7,5.5
RE3430M_for,-114.7,5.5
RE3430X_for,-114.7,5.5
RE3431C_for,-999999,0
RE3432C_for,-59.35,5.12
RE3432M_for,-999999,0
RE3432X_for,-999999,0
RE3434C,-999999,0
RE3434R,-999999,0
RE3435C,-999999,0
RE3435R,-999999,0
RE3436C,-999999,0
RE3436R,-999999,0
RE3437C_for,-999999,0
RE3440C,-986.73,11.27
RE3440R,-986.73,11.27
RE3443M_for,-999999,0
RE3443X_for,-999999,0
RE3444C_for,-999999,0
RE3444M_for,-999999,0
RE3444X_for,-999999,0
RE3445M,-999999,0
RE3445X,-999999,0
RE3446C_for,-999999,0
RE3446M_for,-999999,0
RE3446R_for,-999999,0
RE3446X_for,-999999,0
RE3447M_for,-999999,0
RE3447X_for,-999999,0
RE3448C_for,-999999,0
RE3448M_for,-999999,0
RE3448X_for,-999999,0
RE3449C_for,-999999,0
RE3450C,-999999,0
RE3451C,-999999,0
RE3452C_for,-999999,0
RE3453C_for,-999999,0
RE3454C,-999999,0
RE3455C,-999999,0
RE3456C,-999999,0
RE3457C,-999999,0
RE3458C_for,-999999,0
RE3459C_for,-999999,0
RE3460C,-999999,0
RE3464C,-438.12,6.95
RE3464R,-438.12,6.95
RE3469C_for,-999999,0
RE3470C_for,-999999,0
RE3470M_for,-999999,0
RE3470X_for,-999999,0
RE3474C,-999999,0
RE3474R,-999999,0
RE3475C,-337.05,5.17
RE3475N,-337.05,5.17
RE3476C_for,59.35,5.12
RE3476M_for,59.35,5.12
RE3476X_for,59.35,5.12
RE3477C_for,-999999,0
RE3485C,-999999,0
RE3485N,-999999,0
RE3486C_for,-999999,0
RE3488C,-999999,0
RE3488N,-999999,0
RE3488R,-999999,0
RE3488X,-999999,0
RE3490C_for,-999999,0
RE3491C_for,-999999,0
RE3492C_for,-999999,0
RE3493C_for,-999999,0
RE3494C_for,-14.15,4.59
RE3495C_for,-999999,0
RE3496C_for,-999999,0
RE3496N_for,-999999,0
RE3498N,-999999,0
RE3498R,-999999,0
RE3499C_for,-999999,0
RE3500C_for,-999999,0
RE3500R_for,-999999,0
RE3500X_for,-999999,0
RE3501C_for,-999999,0
RE3501R_for,-999999,0
RE3501X_for,-999999,0
RE3502C_for,-999999,0
RE3502X_for,-999999,0
RE3503C,-999999,0
RE3503N,-999999,0
RE3506C,-999999,0
RE3506R,-999999,0
RE3511C,-999999,0
RE3511M,-999999,0
RE3511R,-999999,0
RE3513C,-337.05,5.17
RE3513N,-337.05,5.17
RE3513R,-337.05,5.17
RE3514C,-438.12,6.95
RE3514R,-438.12,6.95
RE3515C_for,79.29,7.36
RE3518C,-999999,0
RE3518R,-999999,0
RE3519C_for,24.31,5.9
RE3519R_for,24.31,5.9
RE3519X_for,24.31,5.9
RE3520C_for,-999999,0
RE3520E_for,-999999,0
RE3520M_for,-999999,0
RE3520N_for,-999999,0
RE3521C_for,-999999,0
RE3521M_for,-999999,0
RE3521R_for,-999999,0
RE3521X_for,-999999,0
RE3522C,-438.12,6.95
RE3522R,-438.12,6.95
RE3524R_for,-50.23,6.77
RE3525C,-337.05,5.17
RE3525M,-337.05,5.17
RE3525N,-337.05,5.17
RE3525R,-337.05,5.17
RE3525X,-337.05,5.17
RE3526C,-999999,0
RE3526M,-999999,0
RE3526X,-999999,0
RE3532C_for,-999999,0
RE3532M_for,-999999,0
RE3532R_for,-999999,0
RE3533C_for,-67.88,8.38
RE3533M_for,-67.88,8.38
RE3533R_for,-67.88,8.38
RE3534C_for,-67.88,8.38
RE3534M_for,-67.88,8.38
RE3534R_for,-67.88,8.38
RE3535R_for,-999999,0
RE3536C_for,-45.42,5.76
RE3537C_for,-45.42,5.76
RE3550X,-438.12,6.95
RE3551X_for,61.46,5.14
RE3552X_for,46.17,9.69
RE3554C_for,-67.88,8.38
RE3554M_for,-67.88,8.38
RE3554R_for,-67.88,8.38
RE3556C_for,-39.92,6.42
RE3557C_for,-67.88,8.38
RE3557M_for,-67.88,8.38
RE3557R_for,-67.88,8.38
RE3559M_for,-26.9,2.52
RE3559X_for,-26.9,2.52
RE3560C_for,18.75,5.46
RE3560M_for,18.75,5.46
RE3560X_for,18.75,5.46
RE3561M,-60.73,7.2
RE3561X,-60.73,7.2
RE3562C_for,-22.73,2.76
RE3562M_for,-22.73,2.76
RE3562R_for,-22.73,2.76
RE3562X_for,-22.73,2.76
RE3563M_for,-11.35,2.92
RE3563X_for,-11.35,2.92
RE3564C_for,55.92,5.1
RE3564M_for,55.92,5.1
RE3564X_for,55.92,5.1
RE3565C_for,-39.92,6.42
RE3566C_for,-39.92,6.42
RE3567C_for,-39.92,6.42
RE3568C_for,-6.21,6.32
RE3570C_for,-999999,0
RE3571C,-999999,0
RE3571R,-999999,0
RE3572X_for,-55.92,5.1
RE3573X_for,-55.92,5.1
RE3574X_for,18.75,5.46
RE3575X_for,-26.9,2.52
RE3576X,-60.73,7.2
RE3577X_for,-22.73,2.76
RE3578X_for,-11.35,2.92
RE3580X,-999999,0
RE3581X_for,-999999,0
RE3582X_for,0,0
RE3583X_for,-11.35,2.92
RE3586X_for,18.75,5.46
RE3587C_for,-999999,0
RE3587N_for,-999999,0
RE3596C_for,-118.13,5.51
RE3596M_for,-118.13,5.51
RE3596X_for,-118.13,5.51
RE3597C_for,-118.13,5.51
RE3597M_for,-118.13,5.51
RE3597X_for,-118.13,5.51
RE3624M,-999999,0
RE3624X,-999999,0
RE3626M,-60.73,7.2
RE3627C_for,-118.13,5.51
RE3627M_for,-999999,0
RE3627X_for,-999999,0
RE3628M_for,0,0
RE3629C,-999999,0
RE3630C_for,-999999,0
RE3631C_for,-999999,0
RE3633C_for,-999999,0
RE3636C_for,-999999,0
RE3637C,-999999,0
RN0001C,-999999,0
RN0001R,-999999,0
RN0002N,-999999,0
RN0002R,-999999,0
RN0013C,-999999,0
RN0014R,-999999,0
RN0020C,-999999,0
RN0020R,-999999,0
RN0021C,-999999,0
RN0021R,-999999,0
RN0021X,-999999,0
RN0022C,-999999,0
RN0022R,-999999,0
RN0022X,-999999,0
RN0023C,-999999,0
RN0023R,-999999,0
RN0023X,-999999,0
RN0027C,-999999,0
RN0027R,-999999,0
RN0028C,-999999,0
RN0028R,-999999,0
RN0028X,-999999,0
RN0029C,-999999,0
RN0029R,-999999,0
RN0030C,-999999,0
RN0030R,-999999,0
RN0031C,-999999,0
RN0031R,-999999,0
RN0031X,-999999,0
RN0032C,-999999,0
RN0032R,-999999,0
EX_prostgh2(e)_for,-999999,0
EX_prostgi2(e)_for,-999999,0
EX_ppi(e)_for,-999999,0
EX_cdp(e)_for,-999999,0
EX_dtdp(e)_for,-999999,0
EX_HC00955(e)_for,-999999,0
EX_HC00001(e)_for,-999999,0
EX_HC00002(e)_for,-999999,0
EX_HC00003(e)_for,-999999,0
EX_HC00004(e)_for,-999999,0
EX_citr_L(e)_for,-999999,0
EX_HC01787(e)_for,-999999,0
EX_C02470(e)_for,-999999,0
EX_HC01852(e)_for,-999999,0
EX_HC01939(e)_for,-999999,0
EX_HC01942(e)_for,-999999,0
EX_HC01943(e)_for,-999999,0
EX_HC01944(e)_for,-999999,0
EX_HC00822(e)_for,-999999,0
EX_C02528(e)_for,-999999,0
EX_HC02192(e)_for,-999999,0
EX_HC02193(e)_for,-999999,0
EX_HC02195(e)_for,-999999,0
EX_HC02196(e)_for,-999999,0
EX_HC02220(e)_for,-999999,0
EX_HC02154(e)_for,-999999,0
EX_HC02175(e)_for,-999999,0
EX_HC02176(e)_for,-999999,0
EX_HC02199(e)_for,-999999,0
EX_HC02200(e)_for,-999999,0
EX_HC02201(e)_for,-999999,0
EX_HC02172(e)_for,-999999,0
EX_HC02191(e)_for,-999999,0
EX_HC02194(e)_for,-999999,0
EX_HC02197(e)_for,-999999,0
EX_HC02198(e)_for,-999999,0
EX_HC02187(e)_for,-999999,0
EX_HC02180(e)_for,-999999,0
EX_HC02179(e)_for,-999999,0
EX_HC02202(e)_for,-999999,0
EX_HC02203(e)_for,-999999,0
EX_HC02204(e)_for,-999999,0
EX_HC02205(e)_for,-999999,0
EX_HC02206(e)_for,-999999,0
EX_HC02207(e)_for,-999999,0
EX_HC02208(e)_for,-999999,0
EX_HC02210(e)_for,-999999,0
EX_HC02213(e)_for,-999999,0
EX_HC02214(e)_for,-999999,0
EX_HC02216(e)_for,-999999,0
EX_HC02217(e)_for,-999999,0
EX_malcoa(e)_for,-999999,0
EX_arachcoa(e)_for,-999999,0
EX_coa(e)_for,-999999,0
EX_CE2250(e)_for,-999999,0
EX_CE1935(e)_for,-999999,0
EX_CE1940(e)_for,-999999,0
EX_CE1943(e)_for,-999999,0
EX_CE2011(e)_for,-999999,0
EX_CE1936(e)_for,-999999,0
EX_CE1939(e)_for,-999999,0
EX_maltttr(e)_for,-999999,0
EX_maltpt(e)_for,-999999,0
EX_malthx(e)_for,-999999,0
EX_CE2915(e)_for,-999999,0
EX_CE4722(e)_for,-999999,0
EX_CE2916(e)_for,-999999,0
EX_CE4723(e)_for,-999999,0
EX_CE2917(e)_for,-999999,0
EX_CE4724(e)_for,-999999,0
EX_malthp(e)_for,-999999,0
EX_CE2839(e)_for,-999999,0
EX_CE2838(e)_for,-999999,0
EX_CE1950(e)_for,-999999,0
EX_cynt(e)_for,-999999,0
EX_23cump(e)_for,-999999,0
EX_3ump(e)_for,-999999,0
EX_CE5786(e)_for,-999999,0
EX_CE5788(e)_for,-999999,0
EX_CE5789(e)_for,-999999,0
EX_CE5797(e)_for,-999999,0
EX_CE5798(e)_for,-999999,0
EX_CE5787(e)_for,-999999,0
EX_CE5791(e)_for,-999999,0
EX_CE5867(e)_for,-999999,0
EX_CE5868(e)_for,-999999,0
EX_CE5869(e)_for,-999999,0
EX_CE4633(e)_for,-999999,0
EX_CE4881(e)_for,-999999,0
EX_CE5854(e)_for,-999999,0
EX_glcur(e)_for,-999999,0
EX_CE1926(e)_for,-999999,0
EX_udpgal(e)_for,-999999,0
EX_crm_hs(e)_for,-999999,0
EX_galside_hs(e)_for,-999999,0
EX_CE0074(e)_for,-999999,0
EX_cdpea(e)_for,-999999,0
EX_12dgr120(e)_for,-999999,0
EX_CE5853(e)_for,-999999,0
EX_CE1925(e)_for,-999999,0
EX_C05965(e)_for,-999999,0
EX_C04849(e)_for,-999999,0
CITt4_4_for,0,0
GLYt7_311_r_for,0,0
HCO3_NAt_for,0,0
INSTt4_2_for,0,0
PIt8_for,0,0
PIt9_for,0,0
PROt4_2_r_for,0,0
HSD17B3r,-48.93,4.95
CYOOm3,-999999,0
biomass_reaction,-999999,0
2MB2COAc_for,0,0
3HBCOARc_for,0,0
ADPACDAc,-22.73,2.76
ADPACTD_for,0,0
ADPCOACROT_for,-999999,0
ADPCOAPTE,18.75,5.46
BCRNe,0,0
C100CPT1_for,-6.88,3.21
sink_c101coa(c)_for,-999999,0
C101CPT1_for,-999999,0
C101CRNe,0,0
C102CPT1_for,-6.88,3.21
C10CRNe,0,0
C10DCCACT_for,0,0
C10DCc_for,-999999,0
C10DCe,0,0
C10OHc_for,-999999,0
C120CPT1_for,-6.88,3.21
C121CPT1_for,-999999,0
C12DCACOT,-999999,0
C12DCACT,-999999,0
C12DCTD_for,0,0
C12DCe,0,0
C12OHc_for,-999999,0
C140CPT1_for,-6.88,3.21
C141ACBP_for,0,0
C141CPT1_for,-999999,0
C141OHc_for,-999999,0
C141OHe,0,0
C142ACBP_for,0,0
C142CPT1_for,-999999,0
C142OHc_for,-999999,0
C142OHe,0,0
C14OHc_for,-999999,0
C161OHc_for,-999999,0
C162ACBP_for,0,0
C162OHc_for,-999999,0
C162OHe,0,0
C16DCc_for,-999999,0
C16DCe,0,0
C16OHc_for,-6.88,3.21
C16txc,11.33,4.76
C181OHc_for,-999999,0
C182OHc_for,-999999,0
C18OHc_for,-999999,0
C2tcx_for,0,0
C30CPT1,-0.48,4.73
C3DCe,0,0
C40CPT1_for,-6.88,3.21
C4CRNCPT2_for,6.88,3.21
C4CRNe,0,0
C4DCCACT_for,0,0
C4DCe,0,0
C4OHc_for,-999999,0
C4tcx_for,0,0
C4tmc_for,0,0
C4x_for,-6.88,3.21
C50CPT1_for,-6.88,3.21
C51CPT1_for,-6.88,3.21
C5DCe,0,0
C60CPT1_for,-999999,0
C6COAt_for,-999999,0
C6CRNe,0,0
C6CRNtcx_for,0,0
C6DCCACT_for,0,0
C6DCc_for,-999999,0
C6DCe,0,0
C80CPT1_for,-6.88,3.21
sink_c81coa(c)_for,-999999,0
C81CPT1_for,-6.88,3.21
C81CRNe,0,0
C8CRNe,0,0
C8DCc_for,-999999,0
C8DCe,0,0
C9BRxtc_for,0,0
DCATDc_for,0,0
DCATDr_for,0,0
DCSPTN1COAtxc,11.33,4.76
sink_dd2coa(c)_for,-999999,0
DDCRNe,0,0
DDECCRNe,0,0
DDECE1CRNe,0,0
DECCRNe,0,0
sink_decdicoa(c)_for,-999999,0
DECDICRNe,0,0
DOCO13ECOAtxc,11.33,4.76
DOCO13EFATP,-22.73,2.76
DOCOSACT,-22.73,2.76
DOCOSACTDe_for,0,0
DOCOSACTDr_for,0,0
DOCOSADIACTD_for,0,0
DOCOSCOAtxc,11.33,4.76
DOCOSDIACTD_for,0,0
EX_3bcrn_for,-999999,0
EX_3ddcrn_for,-999999,0
EX_3deccrn_for,-999999,0
EX_3hdececrn_for,-999999,0
EX_3hexdcrn_for,-999999,0
EX_3ivcrn_for,-999999,0
EX_3octdec2crn_for,-999999,0
EX_3octdeccrn_for,-999999,0
EX_3octdece1crn_for,-999999,0
EX_3tdcrn_for,-999999,0
EX_3tetd7ecoacrn_for,-999999,0
EX_3thexddcoacrn_for,-999999,0
EX_3ttetddcoacrn_for,-999999,0
EX_c101crn_for,-999999,0
EX_c10crn_for,-999999,0
EX_c10dc_for,-999999,0
EX_c12dc_for,-999999,0
EX_c16dc_for,-999999,0
EX_c3dc_for,-999999,0
EX_c4crn_for,-999999,0
EX_c4dc_for,-999999,0
EX_c51crn_for,-999999,0
EX_c5dc_for,-999999,0
EX_c6crn_for,-999999,0
EX_c6dc_for,-999999,0
EX_c81crn_for,-999999,0
EX_c8crn_for,-999999,0
EX_c8dc_for,-999999,0
EX_ddece1crn_for,-999999,0
EX_ddecrn_for,-999999,0
EX_decdicrn_for,-999999,0
EX_doco13ac_for,-999999,0
EX_docosac_for,-999999,0
EX_docosdiac_for,-999999,0
EX_ivcrn_for,-999999,0
EX_tdcrn_for,-999999,0
EX_tetdec2crn_for,-999999,0
EX_tetdece1crn_for,-999999,0
EX_dca(e)_for,-999999,0
FAOXC101C102m,50.5,5.43
FAOXC101C102x,-60.73,7.2
FAOXC101C8m,17.67,6
FAOXC101C8x,17.67,6
FAOXC101m,0,0
FAOXC101x,0,0
FAOXC102C101m,-118.13,5.51
FAOXC102C101x,-118.13,5.51
FAOXC102C103m,-999999,0
FAOXC102C103x,-999999,0
FAOXC102C81m,-999999,0
FAOXC102C81x,-999999,0
FAOXC102m,-999999,0
FAOXC102x,-999999,0
FAOXC103C102m,-999999,0
FAOXC103C102x,-999999,0
FAOXC10C10OHm,39.15,5.01
FAOXC10C8m,68.17,7.24
FAOXC10C8x,-43.06,8.65
FAOXC10DCC8DCx,-999999,0
FAOXC11BRC9BRx,-999999,0
FAOXC11C9m,68.17,7.24
FAOXC121C101m,-999999,0
FAOXC121C10x,17.67,6
FAOXC121x,0,0
FAOXC122C101m,17.67,6
FAOXC122m,0,0
FAOXC122x,0,0
FAOXC123C102m,-999999,0
FAOXC123C102x,-999999,0
FAOXC123m,-999999,0
FAOXC123x,-999999,0
FAOXC12C10m,68.17,7.24
FAOXC12C10x,-43.06,8.65
FAOXC12C12OHm,39.15,5.01
FAOXC12DCC10DCx,-999999,0
FAOXC12DCTc_for,0,0
FAOXC12DCc_for,-999999,0
FAOXC12DCx_for,-999999,0
FAOXC13BRC11BRx,-999999,0
FAOXC13C11m,68.17,7.24
FAOXC141C121m,-999999,0
FAOXC141C121x,-999999,0
FAOXC141C141OHm,-999999,0
FAOXC142C122m,68.17,7.24
FAOXC142C122x,-43.06,8.65
FAOXC142C142OHm,-999999,0
FAOXC143C123m,-999999,0
